master->client - enable Alarm,!implemented,~important,,,,,
Bit0,Bit1,Bit2,Bit3,Bit4,Bit5,Bit6,Bit7
0,Destination address(1-254),7,alarmData,alarmData,alarmData,alarmData,alarmData
